ID	year	ScientificName
46729bd5-ec8e-4f76-95db-3f0c39f25cc0	1851	asplenium abscissum
5166a989-55cc-4230-9255-3f832a330b8f	1978	asplenium bipartitum
b576ac29-84f5-4553-bfb6-5e647e15f7ad	1978	asplenium bipartitum
2f6a6887-9cd0-4ea7-a8c5-9290aa2f6455	1855	asplenium cristatum
c28b3613-7a4b-4773-89f0-08066a67e433	2003	asplenium davisii
ec95a283-d441-4686-b9d1-628435229efa	1969	asplenium hemionitis
1a8dad7f-35a7-4c52-9afd-2efdfe69955a	1969	asplenium hemionitis
81439cf3-43fb-4019-8ebc-733f8ab97512	1969	asplenium hemionitis
2ad85920-1e83-40c1-af07-d104c6293795	1969	asplenium hemionitis
e3d96117-dbea-432a-81c0-542e881a6f38	1969	asplenium hemionitis
433b4ac9-5083-4e68-91a7-733464191da0	1969	asplenium hemionitis
00ca14a7-5fb8-4328-8fc6-27a7cd539a80	1969	asplenium marattioides
38b7de98-119f-4165-ba34-ad65acf8fb37	1969	asplenium marattioides
e08c2a1d-1b50-46cb-8b3b-c42e0bb37016	1969	asplenium nidus
66cc4fcd-894c-4b4d-8bd8-12adc484a3a1	1969	asplenium nidus
31242e77-08c4-4d26-b432-59406947bc73	1969	asplenium nidus
76cb5499-be01-4495-88ad-7173951880bc	1969	asplenium nidus
a1c215ae-10c1-4c07-92a8-b63235991239	1969	asplenium phyllitidis
7f242dfc-a5f4-48da-a2c3-c9f71411dcf4	1969	asplenium ruta-muraria cryptolepis
6625184a-3a53-44d6-9f44-1fb2358f652b	1969	asplenium subemarginatum
349a3a6c-abd7-4470-8b23-3831e347b7ce	2003	asplundia peruviana
40c50898-fd8c-4a17-b5e9-425dc872956a	1989	astrocaryum aculeatum
9ac7daad-6418-4356-abd3-d34cd3ab45ce	1989	astrocaryum sociale
1ededbb0-e8a4-497a-bba6-951f95ed7b04	1844	attalea eichleri
687f5ff1-ef52-4865-95df-025a3e07fdd1	1844	attalea eichleri
c05746ca-9f4f-4e36-8a25-3964c81f8f7c	1844	attalea eichleri
281842a2-68ec-44dc-bfb2-4a0d421cf104	1949	attalea eichleri
cd2c24c6-c32e-4ade-b186-85d803d3f33c	1955	attalea eichleri
8df438ca-3d31-4b87-a14b-a72071081f19	1967	attalea eichleri
2d7b6df7-9fc6-4a7d-adbb-bddc74945415	1980	attalea eichleri
78e7c103-2191-4a06-8bcd-7081248a0df4	1981	attalea eichleri
66404f02-a2eb-4069-88ba-a24edd184b44	1981	attalea eichleri
1c65109a-d2c9-423c-97bb-a7139c836443	1981	attalea eichleri
2205ea75-9060-4c3f-b160-a2b48c173273	1981	attalea eichleri
d2f89733-c630-457a-ad79-ddbf43d423bf	1982	attalea eichleri
26227322-e091-40d6-b33b-82d263cc42f4	1982	attalea eichleri
eac43800-db86-4a57-90e0-7f8435aa009d	1983	attalea eichleri
c69333ae-d704-491f-9fc8-7fe4968f4e29	1983	attalea eichleri
5b1b25fb-fa92-4946-af2f-3c6042e4fc5a	1983	attalea eichleri
89ec595f-498b-4a55-b344-7bc70406cd21	1983	attalea eichleri
1ad3e429-4d2f-43e4-ae79-df9381d34538	1983	attalea eichleri
1318b650-8a47-4bf5-8f30-88b9d685109a	1983	attalea eichleri
f4990c44-1688-4525-9377-e19b883bab94	1983	attalea eichleri
b72076c0-1fa6-4145-9bc9-ffdbf3fc5d0d	1983	attalea eichleri
5fcd386a-cb31-4f67-a3b3-0fc189b31ffc	1983	attalea eichleri
1afc97ca-c21c-40c1-861b-6b1ecdec415b	1983	attalea eichleri
2e2b8b5c-0aee-4da5-836b-92b119f87477	1983	attalea eichleri
3bd79a19-8bf3-4340-92cd-e45200e67bc4	1983	attalea eichleri
56270f2e-3a04-45ce-ab3c-b13657191f39	1983	attalea eichleri
c307ba63-6fa8-4ea3-985a-578b5b008a42	1984	attalea eichleri
d731d29e-3ab1-42e1-aaa1-45fd7dc472d0	1986	attalea eichleri
a0aa0bad-2ad5-4a14-8149-628abad2a881	1986	attalea eichleri
25f71ef9-4cc2-47f8-8f4a-6ea4937356ab	1986	attalea eichleri
d3a56fd5-1036-4d8f-aaa5-6cb7b482ed2e	1986	attalea eichleri
c877a1e0-34f9-4e2c-a9ef-d777f7a51863	1986	attalea eichleri
c9b971bb-6c1e-40e1-87c7-f583040877f9	1987	attalea eichleri
e52258ae-99a9-494e-bd33-6135bc29a9bb	1987	attalea eichleri
fbf63c4f-36d5-4b93-b1ef-d9e35b57e9e7	1988	attalea eichleri
56a36c76-4955-481e-8c3c-d24d3835151b	1988	attalea eichleri
f77328b2-1eb2-475a-ab42-ffeae4ebe1a8	1988	attalea eichleri
eeb97e12-4b96-47b4-99a2-907a465e45b4	1988	attalea eichleri
a828c262-6e8b-4e38-adc2-a6b185d451b9	1988	attalea eichleri
11dcfa7d-1050-465a-8913-004c3c4b822e	1988	attalea eichleri
1ed9e335-9521-46ad-a291-554195deed92	1988	attalea eichleri
7fe51f8c-756b-406d-87f3-a8fd0467969b	1988	attalea eichleri
a2e0952b-e500-49cd-b5da-55a2c1cf725a	1988	attalea eichleri
15e9d8bc-bb9b-4441-8cad-fc8ab193f7e4	1989	attalea eichleri
40431031-ad02-4fd3-b841-630210f29b15	1989	attalea eichleri
c6e052f2-c39f-4bb1-baae-8a2b71dc048d	1989	attalea eichleri
2132f4a2-763a-4057-9b58-3d636294b3bd	1989	attalea eichleri
0bfda36b-e97a-47cd-adb9-c2c7a85fc66e	1989	attalea eichleri
6bdebbcb-c1ff-4f53-ae04-66e0986014df	1989	attalea eichleri
270ee22c-b2f6-4b10-badd-5f90ae799e5b	1989	attalea eichleri
975f8fdc-6fa9-4d5b-a1f9-dba442f73ce1	1992	attalea eichleri
b027d01d-fd97-4593-a242-7fb1c6c8a2d7	1997	attalea eichleri
9a260a51-1586-4877-85aa-3e70137110cb	2000	attalea eichleri
aa51eea4-205e-4d65-9e89-2598f1d8d772	2000	attalea eichleri
da31a6d0-6b74-4bed-bb52-583cb9c4f18d	2002	attalea eichleri
0cf634bb-6fb7-42a1-b170-0f83b6cc47bf	2002	attalea eichleri
cc1f0555-0905-46af-b1fb-c6191f9a2bde	2002	attalea eichleri
df030c45-0933-4cc6-a10c-b493e9392b60	2002	attalea eichleri
d5accb57-c782-451e-b709-c1036b3fb47f	2003	attalea eichleri
5afb2a05-c3d9-44c9-88f1-bf56e8ae6ffc	2004	attalea eichleri
a64c4a67-4d50-4091-9b16-531e9be18dd7	2005	attalea eichleri
92db64e3-8d57-44c2-b520-c194a7e5f61b	2006	attalea eichleri
7e8d478a-4968-4971-8e0c-3d04cb8e491c	2007	attalea eichleri
b0a3f461-b816-403a-a7c0-684e21d9c3a6	2008	attalea eichleri
8b160971-1c18-42b9-93b8-aecca2d0b06d	2014	attalea eichleri
aae1b7aa-e2d5-4f73-abe5-45a6e74de107	2014	attalea eichleri
2a3db527-f5c3-4b09-a641-82e52accdc55	2014	attalea eichleri
